SYMBOL,gain,TIMESTAMP
LPDC,0.18852460874533433,07-DEC-2022
BURNPUR,0.1862745693856514,07-DEC-2022
NITCO,0.18220335455743572,07-DEC-2022
KANPRPLA,0.1715789794921875,07-DEC-2022
RAJTV,0.16923075455885667,07-DEC-2022
NEXTMEDIA,0.16071430548113252,07-DEC-2022
SITINET,0.1562499976716936,07-DEC-2022
AGRITECH,0.15537019070701574,07-DEC-2022
OPTIEMUS,0.148478332934635,07-DEC-2022
WEALTH,0.14210437926501127,07-DEC-2022
MITTAL,0.1385280866989848,07-DEC-2022
CUBEXTUB,0.1246753048587155,07-DEC-2022
LASA,0.11653545710045522,07-DEC-2022
GOKULAGRO,0.11467115218461539,07-DEC-2022
HERCULES,0.11443297396001127,07-DEC-2022
KANANIIND,0.11214951688373453,07-DEC-2022
PPAP,0.11017696414373618,07-DEC-2022
GAL,0.10909089175137607,07-DEC-2022
FACT,0.10060968990957823,07-DEC-2022
HIKAL,0.09632047938825763,07-DEC-2022
USASEEDS,0.09543297420942579,07-DEC-2022
KOTAKNIFTY,0.09396788054403031,07-DEC-2022
SIDDHIKA,0.09248554913294797,07-DEC-2022
"
		-------------------------------------------------------------------------------		
"
SKIPPER,0.2058823902986616,02-DEC-2022
COUNCODOS,0.19512200227881646,02-DEC-2022
BAJAJHIND,0.1946902453213203,02-DEC-2022
RAYMOND,0.1743795798642792,02-DEC-2022
PEARLPOLY,0.17349399428769766,02-DEC-2022
ESSEN-RE1,0.14814809254985223,02-DEC-2022
UTINEXT50,0.13705467925969686,02-DEC-2022
TOKYOPLAST,0.11082207799146698,02-DEC-2022
DELTAMAGNT,0.10654587146702199,02-DEC-2022
LIKHITHA,0.1046462981946853,02-DEC-2022
KSHITIJPOL,0.10434778185858243,02-DEC-2022
SPCENET,0.10236224887326253,02-DEC-2022
MOKSH,0.09881423222882516,02-DEC-2022
HINDWAREAP,0.09281482011571178,02-DEC-2022
RAMKY,0.09131529458625993,02-DEC-2022
HCC,0.09117642570944394,02-DEC-2022
E2E,0.09,02-DEC-2022
RICOAUTO,0.08625517017187216,02-DEC-2022
SSINFRA,0.08187132089466918,02-DEC-2022
SAKHTISUG,0.08177570239228761,02-DEC-2022
MTARTECH,0.0811248117665026,02-DEC-2022
IPSL,0.08076926989433093,02-DEC-2022
NELCAST,0.07954545454545454,02-DEC-2022
ASPINWALL,0.07895973095336259,02-DEC-2022
AIROLAM,0.07852197657705358,02-DEC-2022
"
		-------------------------------------------------------------------------------		
"
PREMIERPOL,0.2178709284893033,01-DEC-2022
WEIZMANIND,0.16136687466754923,01-DEC-2022
SADBHAV,0.15000002724783762,01-DEC-2022
HPL,0.13744321902939913,01-DEC-2022
CHEMPLASTS,0.12190718503342461,01-DEC-2022
AXITA,0.11666666666666667,01-DEC-2022
ICICIGOLD,0.10545025313950936,01-DEC-2022
667GS2035,0.1036994965120596,01-DEC-2022
HINDMOTORS,0.09090909090909091,01-DEC-2022
VEEKAYEM,0.08597280069191586,01-DEC-2022
BOHRAIND,0.08284600718422287,01-DEC-2022
JPASSOCIAT,0.08080810318795033,01-DEC-2022
MARALOVER,0.07829462095748546,01-DEC-2022
LTTS,0.07544049238272026,01-DEC-2022
SALASAR,0.07320435511964503,01-DEC-2022
SANWARIA,0.07142858967489157,01-DEC-2022
MEGAFLEX,0.07096774193548387,01-DEC-2022
AMJLAND,0.06951874566766655,01-DEC-2022
GREENPOWER,0.06857147216796874,01-DEC-2022
HUBTOWN,0.06715065091475889,01-DEC-2022
TV18BRDCST,0.06542057978711648,01-DEC-2022
KHAITANLTD,0.065,01-DEC-2022
NETWORK18,0.06453959063953471,01-DEC-2022
DHANBANK,0.06382973789436605,01-DEC-2022
MAXVIL,0.06327160493827161,01-DEC-2022
"
		-------------------------------------------------------------------------------		
"
DYNPROPP,0.20197051740536978,15-NOV-2022
RGL,0.185856146455832,15-NOV-2022
AKSHARCHEM,0.16786943678184063,15-NOV-2022
UCL,0.12761906215122767,15-NOV-2022
ALKALI,0.12362990326556808,15-NOV-2022
LINC,0.1209019477105885,15-NOV-2022
SONUINFRA,0.11748253882348121,15-NOV-2022
MHHL,0.11486486486486487,15-NOV-2022
BCLIND,0.10286742726534498,15-NOV-2022
VISHNU,0.10245380428742888,15-NOV-2022
GIRIRAJ,0.10028290878467801,15-NOV-2022
WINDMACHIN,0.10010537246840173,15-NOV-2022
